,사업장명,업태구분명,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모
248,대포항실내마차,호프/통닭,20010929,폐업,20030107,대전광역시 서구 도마동 69-4번지,20.96
249,고기나라,호프/통닭,20050927,폐업,20151029,대전광역시 서구 도마동 122-33번지 1층,61.57
250,토크쇼식당,호프/통닭,19951013,폐업,20021210,대전광역시 서구 도마동 86-101번지,31.53
251,옛이야기주점,호프/통닭,19951017,폐업,20140415,대전광역시 서구 변동 49-14번지,41.72
252,배재골생막걸리,호프/통닭,20010612,폐업,20100827,대전광역시 서구 도마동 50-15번지,54.5
253,친구,호프/통닭,20000705,폐업,20050802,대전광역시 서구 도마동 124-5번지,33.91
254,힘내라동태찌개,호프/통닭,20011009,폐업,20080930,대전광역시 서구 변동 29-3번지,49.1
255,너랑나랑,호프/통닭,19960514,폐업,20060110,대전광역시 서구 변동 47-22번지,26.67
256,민속마을식당,호프/통닭,19960520,폐업,20101209,대전광역시 서구 도마동 153-11번지 1층,19.65
257,실비집,호프/통닭,19760722,폐업,20120406,대전광역시 서구 도마동 143-6번지,10.0
258,연인식당,호프/통닭,19770211,폐업,20051014,대전광역시 서구 도마동 143-8번지,29.89
259,연인들식당,호프/통닭,19911002,폐업,20011221,대전광역시 서구 도마동 101-28번지,22.2
