,인허가일자,영업상태명,폐업일자,소재지전체주소,시설총규모,장사일
1084,20160218,폐업,20171120,대전광역시 서구 도마동 33-14번지,15.18,20171120
1085,20160224,폐업,20180312,대전광역시 서구 도마동 330-21번지,66.89,20180312
1086,20150903,폐업,20150930,대전광역시 서구 도마동 49-10번지,0.0,20150930
1087,20170112,폐업,20180505,대전광역시 서구 변동 73-19번지,21.4,20180505
1088,20170215,폐업,20191213,대전광역시 서구 도마동 168-34번지,87.42,20191213
1089,20160801,폐업,20200408,대전광역시 서구 도마동 50-6번지,31.51,20200408
1090,20160830,폐업,20171226,대전광역시 서구 도마동 328-25번지,22.93,20171226
1091,20160927,폐업,20180104,대전광역시 서구 변동 61-7번지,37.8,20180104
1092,20060613,폐업,20170816,대전광역시 서구 변동 30-1번지 1층,263.33,20170816
1093,20160804,폐업,20170302,대전광역시 서구 도마동 93-8번지,26.04,20170302
1094,20160923,폐업,20170529,대전광역시 서구 도마동 103-11번지,17.86,20170529
1095,20180309,폐업,20190312,대전광역시 서구 도마동 25-2번지,36.75,20190312
1096,20160405,폐업,20161024,대전광역시 서구 도마동 15-1번지,52.92,20161024
1097,20160407,폐업,20160627,대전광역시 서구 도마동 107-27번지,39.6,20160627
1098,20161004,폐업,20170517,대전광역시 서구 도마동 155-41번지,25.0,20170517
1099,20180713,폐업,20191205,대전광역시 서구 변동 41-21번지,34.37,20191205
1100,20060620,폐업,20150819,대전광역시 서구 변동 49-1번지 1층,38.24,20150819
1101,20060621,폐업,20190125,대전광역시 서구 도마동 178-74번지 1층,147.28,20190125
1102,20181207,폐업,20190514,대전광역시 서구 변동 30-7번지,34.86,20190514
