날짜,요일,객수
2018-09-26,수,50
2018-09-27,목,9
2018-09-28,금,47
2018-09-29,토,63
2018-09-30,일,44
2018-10-01,월,44
2018-10-02,화,52
2018-10-03,수,56
2018-10-04,목,4
2018-10-05,금,67
2018-10-06,토,69
2018-10-07,일,49
2018-10-08,월,48
2018-10-09,화,56
2018-10-10,수,43
2018-10-11,목,36
2018-10-12,금,56
2018-10-13,토,68
2018-10-14,일,73
2018-10-15,월,60
2018-10-16,화,59
2018-10-17,수,2
2018-10-18,목,53
2018-10-19,금,71
2018-10-20,토,80
2018-10-21,일,65
2018-10-22,월,41
2018-10-23,화,69
2018-10-25,목,64
2018-10-26,금,74
2018-10-27,토,67
2018-10-28,일,84
2018-10-29,월,58
2018-10-30,화,66
2018-10-31,수,39
2018-11-01,목,46
2018-11-02,금,52
2018-11-03,토,57
2018-11-04,일,49
2018-11-06,화,48
2018-11-07,수,43
2018-11-08,목,40
2018-11-09,금,54
2018-11-10,토,65
2018-11-11,일,60
2018-11-13,화,51
2018-11-14,수,42
2018-11-15,목,36
2018-11-16,금,53
2018-11-17,토,61
2018-11-18,일,50
2018-11-19,월,49
2018-11-20,화,52
2018-11-21,수,1
2018-11-22,목,36
2018-11-23,금,52
2018-11-24,토,49
2018-11-25,일,64
2018-11-26,월,42
2018-11-27,화,33
2018-11-28,수,33
2018-11-29,목,35
2018-11-30,금,49
2018-12-01,토,55
2018-12-02,일,50
2018-12-03,월,1
2018-12-04,화,45
2018-12-05,수,35
2018-12-06,목,38
2018-12-07,금,36
2018-12-08,토,56
2018-12-09,일,62
2018-12-10,월,22
2018-12-11,화,60
2018-12-12,수,38
2018-12-13,목,42
2018-12-14,금,42
2018-12-15,토,52
2018-12-16,일,45
2018-12-18,화,37
2018-12-19,수,56
2018-12-20,목,37
2018-12-21,금,38
2018-12-22,토,51
2018-12-23,일,46
2018-12-24,월,54
2018-12-25,화,81
2018-12-26,수,11
2018-12-27,목,38
2018-12-28,금,43
2018-12-29,토,58
2018-12-30,일,37
2018-12-31,월,69
2019-01-01,화,57
2019-01-02,수,16
2019-01-03,목,30
2019-01-04,금,40
2019-01-05,토,46
2019-01-06,일,33
2019-01-07,월,42
2019-01-08,화,38
2019-01-09,수,29
2019-01-10,목,36
2019-01-11,금,38
2019-01-12,토,48
2019-01-13,일,42
2019-01-14,월,36
2019-01-15,화,52
2019-01-16,수,38
2019-01-17,목,31
2019-01-18,금,45
2019-01-19,토,59
2019-01-20,일,24
2019-01-21,월,33
2019-01-22,화,42
2019-01-23,수,30
2019-01-24,목,34
2019-01-25,금,47
2019-01-26,토,47
2019-01-27,일,1
2019-01-28,월,2
2019-01-29,화,1
2019-01-30,수,24
2019-01-31,목,32
2019-02-01,금,41
2019-02-02,토,39
2019-02-03,일,54
2019-02-04,월,44
2019-02-05,화,78
2019-02-06,수,48
2019-02-07,목,38
2019-02-08,금,38
2019-02-09,토,43
2019-02-10,일,35
2019-02-11,월,47
2019-02-12,화,41
2019-02-13,수,43
2019-02-14,목,42
2019-02-15,금,56
2019-02-16,토,63
2019-02-17,일,38
2019-02-18,월,56
2019-02-19,화,44
2019-02-20,수,50
2019-02-21,목,39
