날짜,네이버 검색량
2018-04-25,10.02773
2018-04-26,9.89124
2018-04-27,12.33158
2018-04-28,13.74823
2018-04-29,12.6508
2018-04-30,9.40031
2018-05-01,10.16863
2018-05-02,9.93967
2018-05-03,9.72393
2018-05-04,12.27324
2018-05-05,14.69377
2018-05-06,15.81762
2018-05-07,12.90287
2018-05-08,10.00022
2018-05-09,8.95671
2018-05-10,8.85545
2018-05-11,12.14115
2018-05-12,16.50779
2018-05-13,13.53139
2018-05-14,8.91929
2018-05-15,10.17743
2018-05-16,10.24128
2018-05-17,10.45152
2018-05-18,13.47745
2018-05-19,14.87319
2018-05-20,14.37676
2018-05-21,14.27659
2018-05-22,16.91616
2018-05-23,25.98296
2018-05-24,13.65137
2018-05-25,13.45874
2018-05-26,15.57326
2018-05-27,14.53416
2018-05-28,12.19509
2018-05-29,10.4174
2018-05-30,9.56983
2018-05-31,9.75475
2018-06-01,13.68109
2018-06-02,14.92272
2018-06-03,13.41361
2018-06-04,8.7806
2018-06-05,11.28698
2018-06-06,12.6508
2018-06-07,9.52249
2018-06-08,11.36623
2018-06-09,14.05424
2018-06-10,13.3971
2018-06-11,10.05415
2018-06-12,10.75092
2018-06-13,12.99423
2018-06-14,10.07286
2018-06-15,12.3657
2018-06-16,14.7334
2018-06-17,12.84783
2018-06-18,35.11799
2018-06-19,9.88574
2018-06-20,8.9303
2018-06-21,8.76629
2018-06-22,11.02941
2018-06-23,24.4166
2018-06-24,12.09712
2018-06-25,8.785
2018-06-26,10.10699
2018-06-27,16.98881
2018-06-28,8.76188
2018-06-29,10.63754
2018-06-30,15.25735
2018-07-01,14.07075
2018-07-02,10.2743
2018-07-03,10.55389
2018-07-04,9.90885
2018-07-05,10.62764
2018-07-06,14.06194
2018-07-07,13.73723
2018-07-08,12.57264
2018-07-09,11.9133
2018-07-10,11.18021
2018-07-11,10.31613
2018-07-12,9.35298
2018-07-13,11.66343
2018-07-14,14.10597
2018-07-15,13.86271
2018-07-16,9.57863
2018-07-17,16.10382
2018-07-18,9.93527
2018-07-19,9.35848
2018-07-20,13.11421
2018-07-21,12.92268
2018-07-22,13.27492
2018-07-23,10.25449
2018-07-24,10.73771
2018-07-25,10.29852
2018-07-26,10.25118
2018-07-27,15.68333
2018-07-28,13.101
2018-07-29,11.4587
2018-07-30,10.31613
2018-07-31,10.82357
2018-08-01,10.89292
2018-08-02,11.03491
2018-08-03,12.31727
2018-08-04,13.11311
2018-08-05,12.26003
2018-08-06,11.84616
2018-08-07,11.36954
2018-08-08,10.41299
2018-08-09,10.67827
2018-08-10,12.08281
2018-08-11,14.09166
2018-08-12,13.00854
2018-08-13,11.0228
2018-08-14,11.88688
2018-08-15,13.15604
2018-08-16,12.37671
2018-08-17,10.90722
2018-08-18,11.70966
2018-08-19,11.3156
2018-08-20,9.74594
2018-08-21,8.84334
2018-08-22,9.40251
2018-08-23,14.17202
2018-08-24,12.5088
2018-08-25,13.19236
2018-08-26,14.80384
2018-08-27,12.20059
2018-08-28,17.07247
2018-08-29,16.59585
2018-08-30,10.38217
2018-08-31,12.91497
2018-09-01,35.05415
2018-09-02,11.83405
2018-09-03,9.64468
2018-09-04,11.18241
2018-09-05,10.63534
2018-09-06,9.92757
2018-09-07,13.51818
2018-09-08,14.43289
2018-09-09,17.11209
2018-09-10,10.82907
2018-09-11,11.97935
2018-09-12,9.43333
2018-09-13,9.84171
2018-09-14,13.38829
2018-09-15,16.03557
2018-09-16,13.78016
2018-09-17,9.66889
2018-09-18,10.82137
2018-09-19,10.48564
2018-09-20,10.97657
2018-09-21,13.98599
2018-09-22,12.83242
2018-09-23,12.73115
2018-09-24,16.09281
2018-09-25,17.54138
2018-09-26,14.1445
2018-09-27,9.05468
2018-09-28,13.13842
2018-09-29,17.60082
2018-09-30,15.25955
2018-10-01,10.88301
2018-10-02,12.66841
2018-10-03,13.85831
2018-10-04,9.57423
2018-10-05,16.56062
2018-10-06,18.1567
2018-10-07,15.39824
2018-10-08,13.83849
2018-10-09,15.31238
2018-10-10,10.89842
2018-10-11,10.73551
2018-10-12,15.26395
2018-10-13,15.64151
2018-10-14,15.95632
2018-10-15,17.84409
2018-10-16,17.7087
2018-10-17,19.56784
2018-10-18,18.56507
2018-10-19,20.2415
2018-10-20,23.83651
2018-10-21,20.18756
2018-10-22,14.7378
2018-10-23,14.57159
2018-10-24,14.08616
2018-10-25,14.76532
2018-10-26,19.86725
2018-10-27,21.85738
2018-10-28,20.22939
2018-10-29,13.37068
2018-10-30,14.43069
2018-10-31,13.70751
2018-11-01,12.99753
2018-11-02,17.5612
2018-11-03,20.32295
2018-11-04,17.5634
2018-11-05,12.25673
2018-11-06,11.60399
2018-11-07,15.01188
2018-11-08,15.16268
2018-11-09,16.06199
2018-11-10,18.15009
2018-11-11,18.47481
2018-11-12,10.94905
2018-11-13,10.88741
2018-11-14,13.1087
2018-11-15,14.89631
2018-11-16,15.65251
2018-11-17,17.34655
2018-11-18,15.96622
2018-11-19,12.45486
2018-11-20,12.12574
2018-11-21,12.01897
2018-11-22,11.47521
2018-11-23,14.77632
2018-11-24,31.65176
2018-11-25,16.21279
2018-11-26,10.62764
2018-11-27,10.66506
2018-11-28,10.15652
2018-11-29,10.424
2018-11-30,14.09497
2018-12-01,16.40542
2018-12-02,14.76091
2018-12-03,12.063
2018-12-04,11.37724
2018-12-05,10.8687
2018-12-06,11.15489
2018-12-07,15.25515
2018-12-08,18.39556
2018-12-09,16.11703
2018-12-10,11.35192
2018-12-11,12.25343
2018-12-12,12.9491
2018-12-13,12.99533
2018-12-14,16.40322
2018-12-15,17.79345
2018-12-16,16.21169
2018-12-17,12.31287
2018-12-18,12.24903
2018-12-19,11.51593
2018-12-20,11.86267
2018-12-21,14.4472
2018-12-22,16.6729
2018-12-23,15.09884
2018-12-24,18.27668
2018-12-25,19.01637
2018-12-26,12.21821
2018-12-27,12.62218
2018-12-28,16.75105
2018-12-29,16.34598
2018-12-30,15.02289
2018-12-31,21.50955
2019-01-01,16.94258
2019-01-02,12.49889
2019-01-03,12.15766
2019-01-04,14.48793
2019-01-05,16.06309
2019-01-06,14.33933
2019-01-07,13.88803
2019-01-08,12.87315
2019-01-09,12.28095
2019-01-10,13.47085
2019-01-11,15.25074
2019-01-12,16.27443
2019-01-13,15.35201
2019-01-14,14.70368
2019-01-15,13.51378
2019-01-16,15.01078
2019-01-17,12.58695
2019-01-18,15.07573
2019-01-19,16.66299
2019-01-20,15.45218
2019-01-21,13.34646
2019-01-22,15.01519
2019-01-23,11.73608
2019-01-24,11.97494
2019-01-25,18.98996
2019-01-26,15.30908
2019-01-27,14.22375
2019-01-28,11.72507
2019-01-29,11.17911
2019-01-30,10.98207
2019-01-31,12.84012
2019-02-01,15.1858
2019-02-02,13.77355
2019-02-03,14.70918
2019-02-04,13.75044
2019-02-05,17.23648
2019-02-06,18.35593
2019-02-07,14.05864
2019-02-08,15.95302
2019-02-09,17.31903
2019-02-10,16.9668
2019-02-11,13.3938
2019-02-12,13.05477
2019-02-13,15.89578
2019-02-14,16.89855
2019-02-15,22.9251
2019-02-16,21.70768
2019-02-17,19.12205
2019-02-18,18.55516
2019-02-19,20.72252
2019-02-20,18.52544
2019-02-21,18.0081
2019-02-22,23.17717
2019-02-23,23.33678
2019-02-24,22.04231
2019-02-25,19.61518
2019-02-26,20.36918
2019-02-27,19.8012
2019-02-28,22.56406
2019-03-01,21.70548
2019-03-02,21.10007
2019-03-03,18.40546
2019-03-04,13.73613
2019-03-05,12.90066
2019-03-06,12.30296
2019-03-07,13.05807
2019-03-08,16.98331
