,날짜,구글 검색량,네이버 검색량
745,2017-07-26,,13.0977
746,2017-07-27,,12.58475
747,2017-07-28,,15.683329999999998
748,2017-07-29,,16.36799
749,2017-07-31,,15.55565
750,2017-08-01,,15.39274
751,2017-08-02,,14.06194
752,2017-08-03,,13.561110000000001
753,2017-08-04,,14.771920000000001
754,2017-08-05,,15.901279999999998
755,2017-08-07,,13.359670000000001
756,2017-08-08,,13.76254
757,2017-08-09,,13.298029999999999
758,2017-08-10,,13.814279999999998
759,2017-08-11,,21.16832
760,2017-08-12,,15.74608
761,2017-08-14,,15.32669
762,2017-08-15,,16.10051
763,2017-08-16,,10.5682
764,2017-08-17,,9.93087
765,2017-08-18,,13.03055
766,2017-08-19,,14.72129
767,2017-08-21,,10.35575
768,2017-08-22,,9.79988
769,2017-08-23,,9.75255
770,2017-08-24,,9.56542
771,2017-08-25,,11.32991
772,2017-08-26,,14.08946
773,2017-08-28,,9.539010000000001
774,2017-08-29,,8.68923
775,2017-08-30,,8.85324
776,2017-08-31,,11.62491
777,2017-09-01,,11.35743
778,2017-09-02,,13.7031
779,2017-09-04,,7.986960000000001
780,2017-09-05,,10.11139
781,2017-09-06,,10.455919999999999
782,2017-09-07,,8.84994
783,2017-09-08,,11.72397
784,2017-09-09,,15.004179999999998
785,2017-09-11,,9.42343
786,2017-09-12,,8.7894
787,2017-09-13,,8.89617
788,2017-09-14,,8.51532
789,2017-09-15,,12.04539
790,2017-09-16,,15.71415
791,2017-09-18,,9.03266
792,2017-09-19,,11.07123
793,2017-09-20,,9.42563
794,2017-09-21,,9.24951
795,2017-09-22,,12.535219999999999
796,2017-09-23,,15.375129999999999
797,2017-09-25,,9.3882
798,2017-09-26,,9.84941
799,2017-09-27,,10.26549
800,2017-09-28,,10.66066
801,2017-09-29,,13.71851
802,2017-09-30,,14.5936
803,2017-10-02,,12.52201
804,2017-10-03,,12.840119999999999
805,2017-10-04,,15.27716
806,2017-10-05,,18.84796
